1	806.153	445.607	658.797	0.0019	0.12	0.01	0.0052	1021.99	918.54	665.79
1	798.376	438.866	653.637	0.0018	0.14	0.009	0.0071	1037.89	917.01	661.25
1	833.806	394.524	642.235	0.0023	0.15	0.01	0.0092	1052.5	918.91	660.36
1	830.266	453.096	659.819	0.0023	0.15	0.01	0.0092	1054.53	916.59	661.91
1  	834.01 	386.608	626.941	0.0013	0.13	0.008	0.0066	1040.14	912.11	750.19
1	825.974	448.119	625.071	0.0021	0.14	0.01	0.0124	1040.1	919.06	659.48
1	807.975	447.203	644.79	0.0021	0.14	0.01	0.0124	1047.62	917.57	656.28
-1	819.839	351.123	606.619	0.0021	0.15	0.011	0.006	1048.3	915.79	659.42
1	822.762	455.73	655.884	0.0023	0.15	0.01	0.0092	1052.34	913.94	661.82
1	808.81	442.969	661.051	0.0019	0.12	0.011	0.0072	1026.25	912.07	661.07
-1	815.797	419.4	636.88	0.0016	0.16	0.011	0.0092	1084.27	912.99	657.19
-1	804.298	354.671	624.295	0.0019	0.12	0.01	0.0052	1036.44	912.63	732.06
1	823.075	402.093	634.304	0.0022	0.15	0.011	0.0073	1030.9	898.68	657.92
1	838.734	406.058	655.538	0.0013	0.14	0.012	0.0059	1041.31	917.37	660.92
1	814.107	401.44	619.867	0.0018	0.15	0.012	0.0073	1040.75	913.27	655.71
-1	821.339	414.634	625.934	0.0016	0.16	0.011	0.0092	1083.94	922.56	657.04
1	823.439	452.786	645.711	0.0019	0.12	0.012	0.0069	1033.71	915.02	752.93
1	825.574	397.906	603.655	0.0016	0.12	0.01	0.0063	1042.81	916.09	662.23
1	842.609	377.053	611.673	0.0014	0.11	0.009	0.0055	1057.45	914.73	729.62
1	805.807	451.507	640.285	0.0014	0.14	0.01	0.0064	1042.6	920.3	661.44
1	819.469	399.8	614.986	0.0015	0.13	0.007	0.0102	1034.63	917.33	657.2
1	838.586	440.078	650.061	0.002	0.11	0.011	0.0095	1033.88	915.02	752.66
1	842.928	450.41	653.906	0.0017	0.11	0.014	0.0087	1044.65	915.61	749.09
1	834	448.904	649.429	0.0017	0.12	0.01	0.0097	1039.96	915.14	751.64
1	836.994	411.376	643.471	0.0015	0.13	0.008	0.006	1055.01	916.79	749.96
1	817.676	418.524	620.428	0.002	0.12	0.01	0.0074	1029.28	916.28	751.56
1	836.734	450.418	651.235	0.0011	0.11	0.007	0.0075	1041.64	926.25	751.27
1	843.034	449.435	640.95	0.0011	0.11	0.007	0.0075	1043.64	926.22	751.5
1	843.92	449.73	648.781	0.0022	0.12	0.011	0.0097	1034.48	916.22	749.08
1	837.971	449.675	649.519	0.0011	0.11	0.007	0.0075	1044.87	924.65	750.31
1	833.253	454.798	662.085	0.0017	0.12	0.009	0.0066	1024.35	917.64	751.67
1	834.589	453.382	651.249	0.0017	0.12	0.009	0.0066	1030.45	916.1	749.75
1	838.503	409.636	626.55	0.0019	0.11	0.012	0.0088	1038.04	914.76	749.5
1	831.146	404.359	622.14	0.0016	0.1	0.009	0.0056	1032.81	912.85	748.1
